title,rating,year,actors,runtime,url
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn,95,https://www.imdb.com/title/tt0057012/
Soy Cuba,8.2,1964,Sergio Corrieri;Salvador Wood;José Gallardo;Raúl García,141,https://www.imdb.com/title/tt0058604/
A Fistfull of Dollars,8.0,1964,Clint Eastwood;Gian Maria Volontè;Marianne Koch;Wolfgang Lukschy,99,https://www.imdb.com/title/tt0058461/
Charulata,8.2,1964,Soumitra Chatterjee;Madhabi Mukherjee;Shailen Mukherjee;Shyamal Ghoshal,117,https://www.imdb.com/title/tt0057935/
Het winkeltje aan 't Corso,8.3,1965,Ida Kaminska;Jozef Kroner;Frantisek Zvarík;Hana Slivková,128,https://www.imdb.com/title/tt0059527/
Oorlog en Vrede,8.3,1965,Lyudmila Saveleva;Vyacheslav Tikhonov;Sergey Bondarchuk;Boris Zakhava,422,https://www.imdb.com/title/tt0063794/
Akahige,8.4,1965,Toshirô Mifune;Yûzô Kayama;Tsutomu Yamazaki;Reiko Dan,185,https://www.imdb.com/title/tt0058888/
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Aleksandr Demyanenko;Mikhail Pugovkin;Aleksei Smirnov;Vladimir Basov,95,https://www.imdb.com/title/tt0059550/
Guide,8.4,1965,Dev Anand;Waheeda Rehman;Leela Chitnis;Anwar Hussain,183,https://www.imdb.com/title/tt0059246/
Persona,8.1,1966,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,85,https://www.imdb.com/title/tt0060827/
Andrei Rublev,8.1,1966,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev,205,https://www.imdb.com/title/tt0060107/
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy;Oleg Efremov;Lyubov Dobrzhanskaya;Olga Aroseva,94,https://www.imdb.com/title/tt0060161/
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood;Eli Wallach;Lee Van Cleef;Aldo Giuffrè,161,https://www.imdb.com/title/tt0060196/
De slag om Algiers,8.1,1966,Brahim Hadjadj;Jean Martin;Yacef Saadi;Samia Kerbash,121,https://www.imdb.com/title/tt0058946/
Jôi-uchi: Hairyô tsuma shimatsu,8.4,1967,Toshirô Mifune;Yôko Tsukasa;Gô Katô;Tatsuyoshi Ehara,128,https://www.imdb.com/title/tt0061847/
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko;Natalya Varley;Vladimir Etush;Frunzik Mkrtchyan,82,https://www.imdb.com/title/tt0060584/
The Graduate,8.0,1967,Dustin Hoffman;Anne Bancroft;Katharine Ross;William Daniels,106,https://www.imdb.com/title/tt0061722/
